Subject,Action,Object,Exception-Condition,Resource-Usage,Time-stamp,flag
User1,Login,Terminal1,1,10,2016:04:02:08:03:20,normal
User1,Execute,ps.exe,1,98.75,2016:04:02:08:03:28,normal
User2,Login,Terminal2,1,10,2016:04:02:08:05:50,normal
User2,Execute,notepad.exe,1,9.91,2016:04:02:08:05:54,normal
User5,Login,Terminal5,1,10,2016:04:02:08:08:30,normal
User5,Execute,notepad.exe,1,10.26,2016:04:02:08:08:37,normal
User4,Login,Terminal4,1,10,2016:04:02:08:10:55,normal
User4,Execute,notepad.exe,1,10.41,2016:04:02:08:11:05,normal
User3,Login,Terminal3,1,10,2016:04:02:08:12:32,normal
User3,Execute,cmd.exe,1,1.9,2016:04:02:08:12:47,normal
User2,Execute,wmp.exe,1,116.41,2016:04:02:08:15:53,normal
User1,Execute,GChrome.exe,1,105.99,2016:04:02:08:18:01,normal
User5,Delete,File3,1,3.61,2016:04:02:08:20:11,normal
User4,Execute,notepad.exe,1,11.75,2016:04:02:08:22:32,normal
User1,Execute,GChrome.exe,1,118.87,2016:04:02:08:23:45,normal
User5,Execute,GChrome.exe,1,116.98,2016:04:02:08:24:29,normal
User4,Execute,wmp.exe,1,117.54,2016:04:02:08:25:58,normal
User2,Execute,notepad.exe,1,9.85,2016:04:02:08:27:20,normal
User3,Open,SharedFile6,1,17.62,2016:04:02:08:28:56,normal
User2,Execute,notepad.exe,1,9.49,2016:04:02:08:30:41,normal
User3,Execute,ps.exe,1,66.71,2016:04:02:08:31:19,normal
User4,Execute,notepad.exe,1,11.98,2016:04:02:08:32:45,normal
User4,Execute,GChrome.exe,1,81.28,2016:04:02:08:33:49,normal
User1,Cut,File1,1,45.19,2016:04:02:08:34:15,normal
User3,Delete,File2,1,26.3,2016:04:02:08:38:48,normal
User5,Open,SharedFile5,1,15.63,2016:04:02:08:40:10,normal
User1,Execute,notepad.exe,1,9.32,2016:04:02:08:43:50,normal
User2,Copy,File2,1,31.38,2016:04:02:08:44:56,normal
User1,Execute,notepad.exe,1,10.7,2016:04:02:08:46:11,normal
User5,Open,SharedFile4,1,1.18,2016:04:02:08:49:07,normal
User1,Execute,wmp.exe,1,116.61,2016:04:02:08:52:04,normal
User1,Delete,File3,1,2.61,2016:04:02:08:57:28,normal
User1,Write,File3,1,2.74,2016:04:02:09:01:18,normal
User2,Copy,File2,1,15.92,2016:04:02:09:04:26,normal
User4,Execute,notepad.exe,1,10.92,2016:04:02:09:09:44,normal
User4,Execute,notepad.exe,1,12.97,2016:04:02:09:10:18,normal
User5,Execute,ps.exe,1,50.8,2016:04:02:09:12:53,normal
User2,Execute,cmd.exe,1,1.79,2016:04:02:09:16:40,normal
